SAN NICOLAS,SARMIENTO 32,2900 - SAN NICOLÁS – PCIA. DE BUENOS AIRES,SR. ULISES GIRALDI,,0336-154541471,,s-nicolas@cruzroja.org.ar,Buenos Aires
SAN RAFAEL,GODOY CRUZ 270,5600 – SAN RAFAEL – PCIA. DE MENDOZA,SR. ERNESTO  ALE,,0260-154602005,,s-rafael@cruzroja.org.ar,Mendoza
SANTA ROSA,ALTE. BROWN 568,6300 - SANTA ROSA – LA PAMPA,SRA. MARIA NELIDA SALDAÑO DE CLAVERO,,02954-15595116,,s-rosa@cruzroja.org.ar,La Pampa
SANTOS LUGARES,SEVERINO LANGUERI 3670,1676 - SANTOS LUGARES – GRAN BUENOS AIRES,SR. ANDRES NACCARELLI,,15-31193229,,s-lugares@cruzroja.org.ar,Buenos Aires
USHUAIA,LEOPOLDO LUGONES 1685,9410 - USHUAIA,,SR. DANIEL ALTAMIRANO,02966-15508717,,ushuaia@cruzroja.org.ar,Tiera del Fuego
VICENTE LOPEZ,REMEDIOS ESCALADA DE SAN MARTIN 1411,1602 – FLORIDA  - GRAN BUENOS AIRES,SR. ROBERTO MARTIN CLOSA,,0,,v-lopez@cruzroja.org.ar,Buenos Aires
VILLA DEL ROSARIO,9 DE JULIO 530,5963 - VILLA DEL ROSARIO – PCIA. DE CÓRDOBA,SR. JUAN CARLOS BERTORELLO,,0,,vd-rosario@cruzroja.org.ar,Córdoba
VILLA GESELL,AV. COSTANERA Y PASEO 128,7165 - VILLA GESELL – PCIA. BUENOS AIRES,MONICA DIAZ,,0,,v-gesell@cruzroja.org.ar,Buenos Aires
VILLA MERCEDES,DP. CALLE POTOSI Nº 81 CP.5730,5730 - VILLA MERCEDES – PCIA. DE SAN LUIS,SR. CARLOS CASCO A/C SIN ACTIVIDADES,,0,,v-mercedes@cruzroja.org.ar,San Luis
SAN SALVADOR DE JUJUY,ECHEVERRIA 484 PB,BARRIO GORRITI - S.SALVADOR DE JUJUY,,SR. SERGIO CARI,,1538139858,,Jujuy
AZUL,BURGOS 185,7300 - AZUL -  PCIA. DE BUENOS AIRES,,OSCAR MENDOZA/FERNANDO PICARDI,02281-15472963,,azul@cruzroja.org.ar,Buenos Aires
CAMPANA,RAWSON 344,2804 - CAMPANA – PCIA. DE BUENOS AIRES,SRA. GRACIELA REY DE COVELLO,,03489-15510705,,campana@cruzroja.org.ar /,Buenos Aires
CHIVILCOY,GUEMES ESQ. BELGRANO,6620 - CHIVILCOY – PCIA. DE BUENOS AIRES,SRA. SAN MAURO AMALIA,,02346-15588120,,chivilcoy@cruzroja.org.ar,Buenos Aires
COMODORO RIVADAVIA,LIBERTADOR 659,9005 - COMODORO RIVADAVIA – PCIA. DE CHUBUT,SR. JORGE MICHIARDI,,0297-154330744,,c-rivadavia@cruzroja.org.ar,Chubut
CONCORDIA,ENTRE RÍOS 238,3200 - CONCORDIA – PCIA. DE ENTRE RÍOS,SRA SPINDOLA MARIA DEL CARMEN,,0345-4213685,,concordia@cruzroja.org.ar,Entre Ríos
CORRIENTES,BOLÍVAR 1219,3400 - CORRIENTES,,LUCIANA CASTIÑEIRA MARIELA CONTRERAS,0379-154504420,,corrientes@cruzroja.org.ar,Corrientes
DON TORCUATO,ROSARIO 2111,1611 - DON TORCUATO – GRAN BUENOS AIRES,SR. GUSTAVO PALAZUELOS,,15-40715737,,d-torcuato@cruzroja.org.ar,Buenos Aires
ESTEBAN ECHEVERRIA,MATIENZO 24,1838 – LUIS GUILLON – GRAN BUENOS AIRES,CARMEN NOEMI TORLUCCI,,4296-3508,,e-echeverria@cruzroja.org.ar,Buenos Aires
GUALEGUAY,R. DE ESCALADA DE SAN MARTÍN 5,2840 - GUALEGUAY – PCIA. DE ENTRE RIOS,,ALBERTO ULRICH,03444-15407424,,gualeguay@cruzroja.org.ar,Entre Ríos
LANUS,EVA PERÓN 2502,1824 - LANUS – GRAN BUENOS AIRES,SRA. MARTA DE CILLIS,,15-40720426,,lanus@cruzroja.org.ar,Buenos Aires
LUJAN,BELGRANO 874,6700 - LUJAN – PCIA. DE BUENOS AIRES,SR. LUIS VILLANUEVA,,0,,lujan@cruzroja.org.ar,Buenos Aires
MERCEDES (CORRIENTES),J.R.LACOUR 1123 (ESQ.P. FERRE),3470 - MERCEDES – PCIA. DE CORRIENTES,SRA. MARINA SUSANA NALLINO,,03773-421015,,mercedes-co@cruzroja.org.ar,Corrientes
NEUQUEN,AV. OLASCOAGA 790,8300 - NEUQUEN,SR. EDUARDO MARMILLON,,0299-155238270,,neuquen@cruzroja.org.ar,Neuquén
PARANA,ANDRÉS PAZOS 301,3100 – PARANÁ – PCIA. DE ENTRE RIOS,SR. ALBERTO FERNANDO ULRICH,,0343-154584861,,parana@cruzroja.org.ar,Entre Ríos
QUILMES,MITRE 229,1878 - QUILMES – GRAN BUENOS AIRES,SR. GERMAN CORDOBA,,15-56549600,,quilmes@cruzroja.org.ar,Buenos Aires
RIO CUARTO,KOWALK 168,5800 - RÍO CUARTO – PCIA. DE CÓRDOBA,SR. ELIAS CLAUDIO ASSAD,,0358-156540429,,r-cuarto@cruzroja.org.ar,Córdoba
RIO TERCERO,ESPERANZA 1869,5850 - RÍO TERCERO – PCIA. DE CÓRDOBA,SRA. ANTONIA NELIDA ADAN,,0,,r-tercero@cruzroja.org.ar,Córdoba
ROSARIO DE LA FRONTERA,SOLDADO SANGUINO ESQ.25 DE MAYO,4190 - ROSARIO DE LA FRONTERA – PCIA. DE SALTA,SRA. LACKNER HAYDEE NOEMI,,3876-15474992,,rd-frontera@cruzroja.org.ar,Salta
SALTA,E. PAZ CHAIN 52,4400 - SALTA,SR. HUGO EDUARDO MONTALBETTI,,0387-154854576,,salta@cruzroja.org.ar,Salta
SAN ANDRES DE GILES,SAN MARTÍN 1001,6720 - SAN ANDRÉS DE GILES – PCIA. DE BUENOS AIRES,SRA. GRACIELA MORALES,,0,,sa-giles@cruzroja.org.ar,Buenos Aires
SAN CRISTOBAL,MAIPÚ 894,3070 - SAN CRISTÓBAL – PCIA. DE SANTA FE,SRA. AIDA BLANCA NOSETTI,,0,,s-cristobal@cruzroja.org.ar,Santa Fe
SAN FRANCISCO,DANTE ALIGHERI 1329,2400 - SAN FRANCISCO – PCIA. DE CÓRDOBA,,LUIS TROCCA,15-68079244,,s-francisco@cruzroja.org.ar,Córdoba
SAN JUAN,MARIANO MORENO Nº 35 OESTE,5400 – SAN JUAN,SRA. DIAZ SILVINA ANALIA,,0264-427-3230,,s-juan@cruzroja.org.ar,San Juan
SAN MIGUEL DE TUCUMAN,CRISOSTOMO ALVAREZ 770,4000 - SAN MIGUEL DE TUCUMÁN,,SRA. CECILIA MORÁN,15-57532679,,tucuman@cruzroja.org.ar,Tucumán
SAN PEDRO,H. YRIGOYEN 277,2930 - SAN PEDRO – PCIA. BUENOS AIRES,SRA. CLAUDIA M. GARCIA MUÑOZ,,03329-15471880,,s-pedro@cruzroja.org.ar,Buenos Aires
SANTA FE,CRUZ ROJA ARGENTINA 1963,3000 - SANTA FE,SR. OSVALDO M. FERRERO,,15-57532494,,s-fe@cruzroja.org.ar,Santa Fe
SANTIAGO DEL ESTERO,ABSALÓN ROJAS 299 ESQ. JUJUY,4200 - SANTIAGO DEL ESTERO,SRA.NILDA DEL ROSARIO DE RIZOPATRÓN,,0385 154734534,,sd-estero@cruzroja.org.ar,Santiago del Estero
TANDIL,SAN MARTÍN 452,7000 - TANDIL  - PCIA. DE BUENOS AIRES,SR. OSCAR MENDOZA,,15-68079344,,tandil@cruzroja.org.ar,Buenos Aires
VENADO TUERTO,LÓPEZ 765,2600 – VENADO TUERTO – PCIA. DE SANTA FE,SR. FEDERICO RAMIREZ,,03462-15610748,,v-tuerto@cruzroja.org.ar,Santa Fe
VILLA CRESPO,CÓRDOBA 6434,1427 - CIUDAD AUTÓNOMA DE BUENOS AIRES,,SR. ROBERTO MARTIN CLOSA,155010705,,v-crespo@cruzroja.org.ar,Ciudad de Buenos Aires
VILLA DOMINICO,GRAL. VILLEGAS 4947,1874 – VILLA DOMINICO – GRAN BUENOS AIRES,,GRACIELA ALONSO,0,,v-dominico@cruzroja.org.ar,Buenos Aires
VILLA MARIA,ALEM 532,5900 - VILLA MARIA – PCIA. DE CÓRDOBA,SR. DANIEL LOYOLA,,0353-156573374,,v-maria@cruzroja.org.ar,Córdoba
ZARATE,AMEGHINO 1320,2800 - ZARATE  - PCIA. DE BUENOS AIRES,SR. MAC NALLY ALFREDO,,03487-15312000,,zarate@cruzroja.org.ar,Buenos Aires
LA RIOJA,AVELLANEDA 380 - CENTRO LA RIOJA,LA RIOJA - F5300GJH,SR. FERNANDO PEÑALOZA,,0264-4646948,,,La Rioja
